"SA2","LONGITUDE","LATITUDE","cluster"
"Beverley",117.173785,-32.142505,1
"Bridgetown - Boyup Brook",115.794999,-33.937097,1
"Brookton",117.01348,-32.3868,1
"Esperance",121.795591,-33.609175,1
"Katanning",117.611931,-33.683085,1
"Kulin",118.301848,-32.790382,1
"Narrogin",117.07455,-32.92622,1
"Northam",116.694194,-31.651611,1
"Serpentine - Jarrahdale",116.07547,-32.33423,1
"Wagin",117.356935,-33.317465,1
"Dowerin",117.1358,-30.9932,2
"Geraldton - East",114.980032,-28.695861,2
"Geraldton - North",114.776781,-28.457779,2
"Gingin - Dandaragan",115.603514,-31.331817,2
"Irwin",114.997161,-29.063612,2
"Merredin",118.226202,-31.493128,2
"Moora",116.00015,-30.659595,2
"Morawa",115.997377,-29.220353,2
"Mukinbudin",118.2506,-30.9187,2
"Mullewa",115.446142,-28.588141,2
